Country;Airport;Code;Pax 2015;;;;;;;;;;;;;;
Sweden;Linkoping;LPI;157 346;;;;;;;;;;;;;;
Sweden;Lulea;LLA;1 177 131;;;;;;;;;;;;;;
Sweden;Malmo;MMX;2 169 901;;;;;;;;;;;;;;
Sweden;Norrkoping;NRK;109 137;;;;;;;;;;;;;;
Sweden;Orebro;ORB;95 395;;;;;;;;;;;;;;
Sweden;Ostersund;OSD;464 816;;;;;;;;;;;;;;
Sweden;Ronneby;RNB;216 304;;;;;;;;;;;;;;
Sweden;Skelleftea;SFT;300 278;;;;;;;;;;;;;;
Sweden;Stockholm Arlanda;ARN;23 142 536;;;;;;;;;;;;;;
Sweden;Stockholm Bromma;BMA;2 488 779;;;;;;;;;;;;;;
Sweden;Stockholm Skavsta;NYO;1 811 730;;;;;;;;;;;;;;
Sweden;Stockholm Vasteras;VST;113 723;;;;;;;;;;;;;;
Sweden;Sundsvall;SDL;271 353;;;;;;;;;;;;;;
Sweden;Umea;UME;1 047 081;;;;;;;;;;;;;;
Sweden;Vaxjo;VXO;185 980;;;;;;;;;;;;;;
Sweden;Visby;VBY;431 430;;;;;;;;;;;;;;
Switzerland;Major airports;;49 113 439;;;;;;;;;;;;;;
Switzerland;Basel;BSL;7 061 059;;;;;;;;;;;;;;
Switzerland;Bern;BRN;190 251;;;;;;;;;;;;;;
Switzerland;Geneva;GVA;15 771 271;;;;;;;;;;;;;;
Switzerland;Zurich;ZRH;26 281 228;;;;;;;;;;;;;;
Turkey;All airports;;181 355 761;;;;;;;;;;;;;;
Turkey;Adana;ADA;5 369 260;;;;;;;;;;;;;;
Turkey;Adiyaman;ADF;190 744;;;;;;;;;;;;;;
Turkey;Agri;AJI;283 806;;;;;;;;;;;;;;
Turkey;Amasya Merzifon;MZH;146 707;;;;;;;;;;;;;;
Turkey;Ankara;ESB;12 326 869;;;;;;;;;;;;;;
Turkey;Antalya;AYT;27 724 249;;;;;;;;;;;;;;
Turkey;Antalya Gazipasa;GZP;915 046;;;;;;;;;;;;;;
Turkey;Balikesir Koca Seyit;EDO;321 130;;;;;;;;;;;;;;
Turkey;Batman;BAL;199 511;;;;;;;;;;;;;;
Turkey;Bingol;BGG;135 548;;;;;;;;;;;;;;
Turkey;Bodrum;BJV;3 877 603;;;;;;;;;;;;;;
Turkey;Bursa Yenisehir;YEI;186 703;;;;;;;;;;;;;;
Turkey;Canakkale;CKZ;168 031;;;;;;;;;;;;;;
Turkey;Dalaman;DLM;4 377 101;;;;;;;;;;;;;;
Turkey;Denizli;DNZ;509 047;;;;;;;;;;;;;;
Turkey;Diyarbakir;DIY;2 071 089;;;;;;;;;;;;;;
Turkey;Elazig;EZS;955 988;;;;;;;;;;;;;;
Turkey;Erzincan;ERC;296 284;;;;;;;;;;;;;;
Turkey;Erzurum;ERZ;1 085 117;;;;;;;;;;;;;;
Turkey;Gaziantep;GZT;2 480 979;;;;;;;;;;;;;;
Turkey;Hatay;HTY;1 171 484;;;;;;;;;;;;;;
Turkey;Igdir;IGD;212 851;;;;;;;;;;;;;;
Turkey;Isparta;ISE;241 016;;;;;;;;;;;;;;
Turkey;Istanbul Atatürk;IST;61 322 729;;;;;;;;;;;;;;
Turkey;Istanbul Sabiha Gökçen;SAW;28 112 438;;;;;;;;;;;;;;
Turkey;Izmir;ADB;12 139 788;;;;;;;;;;;;;;
Turkey;Kahramanmaras;KCM;228 689;;;;;;;;;;;;;;
Turkey;Kars;KSY;424 724;;;;;;;;;;;;;;
Turkey;Kayseri;ASR;1 980 247;;;;;;;;;;;;;;
Turkey;Konya;KYA;1 067 753;;;;;;;;;;;;;;
Turkey;Malatya;MLX;767 701;;;;;;;;;;;;;;
Turkey;Mardin;MQM;567 597;;;;;;;;;;;;;;
Turkey;Mus;MSR;342 953;;;;;;;;;;;;;;
Turkey;Nevsehir;NAV;359 563;;;;;;;;;;;;;;
Turkey;Ordu-Giresun;OGU;196 385;;;;;;;;;;;;;;
Turkey;Samsun Carsamba;SZF;1 716 993;;;;;;;;;;;;;;
Turkey;Sanliurfa;GNY;697 729;;;;;;;;;;;;;;
Turkey;Sirnak;NKT;272 576;;;;;;;;;;;;;;
Turkey;Sivas;VAS;533 278;;;;;;;;;;;;;;
Turkey;Tekirdag Corlu;TEQ;151 520;;;;;;;;;;;;;;
Turkey;Trabzon;TZX;3 361 450;;;;;;;;;;;;;;
Turkey;Van;VAN;1 394 328;;;;;;;;;;;;;;
Ukraine;Dnepropetrovsk;DNK;346 014;;;;;;;;;;;;;;
Ukraine;Kharkiv;HRK;373 643;;;;;;;;;;;;;;
Ukraine;Kiev Boryspil;KBP;7 277 135;;;;;;;;;;;;;;
Ukraine;Kiev Zhuliany;IEV;944 305;;;;;;;;;;;;;;
Ukraine;Lvov;LWO;570 937;;;;;;;;;;;;;;
Ukraine;Odessa;ODS;949 100;;;;;;;;;;;;;;
United Kingdom;All airports;;254 707 495;;;;;;;;;;;;;;
United Kingdom;Aberdeen;ABZ;3 433 064;;;;;;;;;;;;;;
United Kingdom;Belfast City;BHD;2 694 063;;;;;;;;;;;;;;
United Kingdom;Belfast International;BFS;4 391 949;;;;;;;;;;;;;;
United Kingdom;Birmingham;BHX;10 189 517;;;;;;;;;;;;;;
United Kingdom;Bournemouth;BOH;705 822;;;;;;;;;;;;;;
United Kingdom;Bristol;BRS;6 783 287;;;;;;;;;;;;;;
United Kingdom;Cardiff;CWL;1 158 702;;;;;;;;;;;;;;
United Kingdom;City of Derry;LDY;284 527;;;;;;;;;;;;;;
United Kingdom;Doncaster/Sheffield;DSA;857 682;;;;;;;;;;;;;;
United Kingdom;Durham Tees Valley;MME;140 780;;;;;;;;;;;;;;
United Kingdom;East Midlands;EMA;4 446 527;;;;;;;;;;;;;;
United Kingdom;Edinburgh;EDI;11 117 725;;;;;;;;;;;;;;
United Kingdom;Exeter;EXT;821 888;;;;;;;;;;;;;;
